clean_review,Star
incredibly slow service sat drive 10 minutes line moving finally got food crispy chicken sandwich tasted stale texture chewy not crisp wasn't asked wanted ketchup sauces sandwich didn't drop mayonnaise just oddly dry pickles soggy bun park inside condiments expected mcdonald's experience soda tasted like sanitizer never location stop mcdonald's blindingly hungry verge passing past 3 experiences locations orlando disgusting update got food poisoning thing ate,1
great staff didn't eat picked food uber eats,5
excellent,5
randomly 11 45 night,1
mcdonald's broadway clean decent servers place you'd like family,5
mcron's baby! consistency policy that's kids love place,5
love,5
went mcdonald s ordered pasta ravioli noodles bolognese sauce mind good eating got home like 30 mins starte,1
asked plain cheeseburger literally reiterated twice wanted ketchup cheese just no pickles onions got home ready eat disappointed,1
terrible,1
it's mcdonald's kiosks working service quick didn't upstairs check dining room,4
long wait charging fountain water,1
lunch time fast great service,5
placed mobile order went ordered large fries manager refused order showed order refused said cancel asked said didn't know horrible service,1
fine morning night staff terrible rude unhelpful lots food not available really thought lady serving sort slow medication hadn't paid food kids moaning hungry server wearing food!!!!,1
major problem mcdonald's!! coming years alot inconveniences! non night appalling!! what's wrong girl cashier tan skin black hair hispanic indian girl yellow long press nails?! im sure single crowd wont say kept saying eachothers names loud like high school musical mandatory not receipt? like hardworking americans coming long remember need receipt especially just incase fast food workers forget order wouldn't know not did fail receipt failed correct order asked order times! owner's mcdonald's policy berate customer spanish? i'm puerto rican understand saying rude said customer customer value rewards members? i'm going post experience social media platform! mark words! like state woman manager allowed staff acting maliciously acted going wrong run establishment?! african american fellow tall kind lisp gave wrong order wrong receipt nice pick garbage receipt hours ago thinking wouldnt know difference! owner pop in!! like losing money thumbs down! i'm going spend money zero stars!!!!!!,1
excellent,5
terrible,1
good,4
drive literally closed store face place disgrace,1
mcdonald's generally sucks loud worse don't think drive gotten order correct they're constantly running staple items e don't fries ready shake machine busted that's not bad it's hang local homeless not decent homeless methed violent type,1
building completely locked can't use bathroom waiting curbside,1
neutral,3
newly renovated far good,4
neutral,3
good service would've better wasn't walking homeless person passed sidewalk strange sure,4
horrible lines long,1
neutral,3
fast,5
friendly staff quick service great prices gone highly recommend,5
terrible service waiting smoothies never got,1
good coffee excellent food nice people,5
worst mcdonald s ve experienced late night manager literally slammed door face locked,1
great service clean restrooms clean dinning room friendly staff,5
service speedy convenient,4
mc food want? location works app best app quick service,3
ordered breakfast 8 34 january 16 2022 order 1386 order 86 ate breakfast resort staying family elected mcdonald s instead not did wait extended period minutes order board large order got window number girl working window rude did not want allow review large order spoke extremely fast unprofessional rushed window paying drove window handed food hadn t paid tried reviewing order woman didn t listen pay attention sat patiently rushed window collect payment given cooked mushy rest breakfast good relay staff overall experience drives customer not just food wendy s filled remainder order efficie,1
not clean,3
expensive,2
good,4
nice,5
hard restaurant people asking money,1
quick served favorites,4
slow service,4
nice efficient mds use app sandwich 1 let multiple transactions save ton great location clean courteous,3
awful staff rude place slow dirty,1
ordered lunch today doing kiosk 10 people waiting waiting online orders used kiosk waited 20 minutes food got food gave iced coffee instead frappe told worker claimed s ordered got wrong deserts didn,1
lanes drive ordered mobile app waiting line got speaker didn't bother ask order order number just kept taking people line know happens forget order cars pull not 4 row started taking 5th car pulled line went window food ok got waiting 30 minutes happen drive isn't cool,4
yas self serve kiosks!,5
came 11pm night ordered spicy mcchicken medium meal 2 cheeseburgers asked fries fresh usually never issue mcdonald's order thing not fresh called order wait no issues want fresh food typically wait got food 8 minutes later drove food house home look bag grab fry mcdonalds fries fresh freaking delicious yeah no bit 5 fries soggy unsalted highly disappointed tried phone just rang no longer close mcdonalds just ordered thing mcdonalds closer destination winter park actually gave discount apologized troubles mcdonalds said understood wont coming mcdonalds,1
night shift 9 10 taken break times gone say closed service extremely slow late close no way doubt worst country,1
slow not long winded!,2
producing fatty unhealthy food masses mcdonald's blight neighborhood caters providing saturated fatty foods,1
good hot food lot homeless people security,4
don t eat 6 minutes cook frozen apple pie drag feet till feel like order paid counter 4 03pm got order,1
not bad,5
slow lazy staff 6am hardly business waited breakfast 15min,2
slowest mcdonald's i've visited checked pickup order uber waited 15 minutes backed hadn't started order not returning location,1
time info drive snotty kid doesn t know listen correctly order mean frustrating orde,1
crowded prompt service got order right accommodating easier thought,5
just want warn people beautiful playground outside s closed,1
worst service staff rude food takes time served not recommend worst mcdonald's i've,1
flies kitchen poor food sloppy looking man supposedly managed did not notice filthy cup handed drink awesome employee noticed gave clean cup dirty restaurant poor management great woman supervisor,1
neutral,3
excellent,5
got order right,2
don't time order salt fried not friendly grandson loves mcdonald 35 really awful told pull decaffeinated coffee come wrong orders just rid,2
fast quick good! better management control,5
love place great place bring kids n u r hurry best place stop trust u wont long,5
missing kids meal plus following covid19 precussion disorganized extent gives opportunity 10 strangers gather order pick session,2
not expectations enter nyc mcdonalds aesthetically pleasing having recently updated clutch location fast food anytime,3
can't change mobile order placed wanted light chocolate coffee instead 6 obese size pumps drowns actual taste coffee makes taste extremely sweet asked speaker window 1 window 2 person can't forgot hot sauce burrito mcdonald's standard,1
great friendly service,5
service good druggies hanging,2
beware location huge user mcdonald happy meal child know use mcdonald app order location not working furthermore kiosk order just takes money credit card receipt paper run person register took order twice happy meal paid 4 times happy meal understand place overcrowded macy's department work better won't location worst place,1
point orders great customer service,5
lunch not shabby place,4
wonderful customer service! stop come town,5
nice place eat anytime want busy people come bus loads eat hamburgers it's tourist trap cheap hot food money goes far people quick meal internet free,5
good,4
run morons order 2 cones charge 3 cones apparently 3 different couriers need come serve 5 minutes arguing running telling ll ice cream guy comes tell won,1
cold food gave different order forgot half ordered,1
place used great beggars homeless taken entire 2nd floor place smells horrid employees rude food takes long,1
horrible!!!!! food cold fries cold just horrible!!!!!!!!,1
fast friendly,5
customer service bad super slow did not complete order asked rest stuff no apology handed,1
nice people,5
great,5
good place eat u work shift,5
good food,5
food fresh staff polite wait bit,4
no comment,1
used drive ordered large fries paid large fries received large fries no receipt given couldn't prove ordered,1
disappointed no indoor seating doors locked drive needed sit table eat decided eat,2
delicious,5
went morning hashbrown wasn t cooked way sodas wro,1
google says open 24 hours guy drive turned away 3 30 told close 2 00,1
stopped n 4 breakfast sandwiches coffee horrible,4
neutral,3
slow service,3
45 min waiting restroom close bad,1
got order wrong twice second time didn't bother,1
disgusting !!! that's way place it's 1 30 saturday lord not 1 7 people sleeping booths begging food money bath room doors don't lock allowed happen? run businesses ny guess mcdonalds cares customers no matter unsafe feel just want money can't sued fortunate kicked haven't ordered good job mcd's,1
worst mcdonals super slow time,1
place busy no chasier time just order kiosk app ordered phone app got taken care reasonable time people ordered kiosk couldn't pay card wait collect money cashier chaos want say team handling download app phone service faster app does offer deals free stuff purchase,4
fast drive efficient!,4
mcdonalds favorite place frappe fish burger cheeseburger nuggets breakfast simply best sprite new flavor love couple stores sold institution america mcdonald's 1 mr trump likes,5
wouldn't expect it's not good europe not mention you'll really hungry time they'll serve you'll starve,2
order english muffins sausage eggs english muffin really hard edge sausage biscuit egg bread really hard i've throw bread hey way just money got throwed away,3
apple pies horrible old kind,1
neutral,3
bad service drive,1
can't wrong 10 piece chicken mcnugget meal,5
right welcome las vegas sign great pick point you're ubering,5
it's mcdonald's,5
excellent,5
burger looked like pictures,1
excellent,5
customer service course not good morning smile arrived badly come worse lol don't ask rewards tell,3
food rich like lot food good,5
speed service opportunity stay look like manager like kicking homeless man wanted water just cause s hot guess looking ou,3
service usually fast unless s inexperienced cashier 5 people waiting orders,4
neutral,3
breakfast great hash brown not greasy mcmuffin soft fluffy,5
supremely supreme,5
no stars!!! worst service encountered 28 minutes drive asked refund managers refunded money decline food ask manager walks away end got food free better management team needs come train cus young women yesterday 6 23 2pm exchanging snapchat videos chitchatting like didnt 8 10 cars drive,1
needs help,1
worst customer service,1
manager location mike person drive mike opens window hands food walks away looked right eye asked bbq sauce little mike cares job helping customers pure laziness location!!,1
takes soooooo long,3
excellent,5
like mcdonalds terrible remembering asked signature sauce,3
lots parking tasty coffee clean roomy restrooms,5
excellent,5
got mcdonald's drove san diego proposed wife tuna park,5
drive 10 58 tried ordering lunch told couldn't order told i'd just wait 2 minutes like car ahead took 5 minutes order no big deal right? nope manager comes yells pull didn't care just 1 car ordering thought blocking escape time actually got drive cars ahead 11 01am really smart guys i'll happily business no longer stopping zoo trips kids,1
smell dirty worker pleasant,2
staff unprofessional no customer service skills whatsoever,1
bad service food got sick day 4,1
disgusting legit took forever release order mcchicken wrong make took 10 minutes 3 items value menu never coming,1
want add small fry window ordered speaker n black lady refused add i'm asking manager said can't ordered ready black uniform manager come window n tell can't 05 25 19 afternoon,1
excellent,5
staff drive don't patience,2
i've going location life it's not far home i've seen mcdonald's lot changes employees generally decent attitudes tend rude store dirty lot time it's busy location maybe it's having lot foot traffic floor usually dirty drink station filthy wet sticky ketchup area ketchup ketchup place tables tend dirty usually clean table light tables kids like kid homeless people sitting won't eating they'll stuff place sit hours mind tables seat 8 homeless person sitting kid want sit play lights i'll tell can't homeless person sitting largest table camping employees don't care people doing despite sitting hours buying they'll sleeping table kid's play area really crappy kids play like playplace 4 really crappy touch screen games things rarely work properly kid huge playplace took remodeled store n64's point playplace took replaced sitting place instead playplace it's really awful mcdonald's dirty lot homeless people practically live isn't really kid friendly food okay long it's hot food lot cold food order wrong employees generally friendly lot times managers lackluster meaning tell don't want location needs lot work need homeless people hang hasn't single time i've gone wasn't homeless person taking interactive table kids want sit dirty things sitting table table counter times smell homeless person that's sitting time you're waiting line waiting food drinks not kid friendly store store nicer town you'd expect quite bit cleanliness,2
food prepared employees professional issue lack electric plugs near booths charge phones laptops,5
good,4
terrible waited 32 minutes compared short food cold staff nonchalant,1
great place quick bite,5
great,5
ghetto,5
good,4
excellent,5
neutral,3
fresh food awesome table service!!! 5 stars,5
everytime drive gets missed caramel flavoring missing latte today fruit fly oj no syrup sprite missing order items realize it's busy place attention needed,2
neutral,3
no surprises it's mcdonald's,2
app gives option select table table annoyed called order number sitting end didn't notice complained 35 minutes later!!! correct app better train staff,4
neutral,3
nice staff!,5
high tech doesn't mean faster location multiple self service kiosk meaning instead taking orders time simultaneously causing backup waiting food inside competing drive location does not offer dining inside ordering food just mopped 20 customers inside safety hazard not mention overheard tell employees broke ladies restroom causing water floor,1
busy,1
food terrible homeless person la parking lot restroom,1
excellent,5
terrible,1
typical,1
excellent,5
place like wow you'll walk say mcdonald's great foods you'll amazed walk way,5
food tastes like absolute trash,1
awesome,5
needed effort prompt customer service cleanliness,1
sucks,1
loved watermelon slush 10 pm thank 24 hour mcdonalds!!!,4
good food,5
good service,3
slowest mc donalds hood dont care,1
snoopy toys,2
ok atmosphere not good,3
service fast good,5
excellent,5
undesirables don't bring kids,1
not order fries didn't sauces dissatisfied called 2 30 lady answered rude!!!!,1
pizza warm took half hour arrive replacement fast came hot,3
neutral,3
excellent,5
,5
worst mcdonald's staff doing 3 times bad experiences food long handed it's cold that's right order tables filthy never wiped toilets disgusting,1
excellent,5
excellent,5
place small order waited food really didn't anyplace stand getting someone's way,4
generally pretty fast panhandlers try approach near drive extremely unsafe,1
cleanest mcdonald's i've visited staff unusually helpful attentive checked twice dining area make sure food satisfactory offered beverage refills bus table run establishment completely new fast food experience family food good,5
wish zero food horrible order wrong paid extra cheese no cheese no mayonnaise food cold dime size tomatoes sandwich 7 sandwiches 2 right post pictures service unacceptable,1
took 17 minutes mcchicken feels like wouldn't long forgot lettuce fries cold i'm wanting bet went better options stock can't recommend going,2
awful experience location member security staff hire customers employees,1
not eat got apple pie friend,1
worse bad worse new people don't attend pay ask machine die dispatch horrible customer service ma manager yelling employees ufff,1
unprofessional rude mcdonalds recently went mcdonalds order 2 quarter pounders cheese no ketchup tomatoes allergy large coke got work i'm happy checked bite called spoke manager asked come replace couldn't make day work called day left know going replacement said ok pick not 5 minutes later manager called told couldn't pick said manager said ok person called said different manager talked thistles manager said absolutely not manager like unprofessional rude mcdonalds,1
not like macdonald's bad service instead 10 gave 8 chicken nuggets,1
heart santa monica no parking it's breath fresh air stree level building parking mcdonalds,5
dirty slow hate,1
mcdonalds kiosk ordering it's good idea order grab number sit getting order tell wish modern way know order ready pager digital board instead telling names,3
good,4
time classic,5
terrible,1
breakfast priced rigjt 2 egg mcmuffins 3 55,4
good,4
big busy mcdonald's choices usual,5
horrible service,1
long wait food cold brought table attempts right amout cups,3
extra 5 minutes different location!!!! entire order incorrect stuffed bag broke 2 seconds handed person took order interested rushing looking correct went inside speak manger turns bagged order! got screamed young wanna rico suave ve kitche,1
great service!,5
nice ate car lol,5
terrible,1
ordered 3 sandwiches received bread no meat no cheese noticed got home congrats,1
big 0 rating people rude uber eats order not placed waiting 15 minutes waiting truly wish post pics store filthy yes took pics dirty dining time come it's gross,1
slow slow slow younger people rude!!! new renovation slow workers rudeness past saturday waited 15 min drive never placed order 10 cars backed left,2
it's okay place need weight feet good place,4
excellent,5
ok food service 0 prices difference,2
mcdonald s needs hire staff! breakfast lunch place backed orders order food mcdonald s app 30 min,1
ok,5
slow service,1
rainy night orlando went super long day disney world waited 20 min food drive thru! order correct pouring rain did not want slow drive mean mcdonald's people quick convenient components def missing particular visit,1
mcdonalds kiosk ordering it's good idea order grab number sit getting order tell wish modern way know order ready pager digital board instead telling names,3
like mickey ds fast food great fries,4
mcdonald's ice cream machine never broken anytime i've ordered ice cream that's literally ask fast food establishment,5
service excellent,5
service adequate lot seating space group went,4
trash,1
somethi wrong food hot soda instead juice food cold,1
excellent,5
i've frequented mcdonalds week year times past fairly ambivalent just place quick bite eat rushed appointment event past months know pleather seats like hand know nuances quick order kiosks chuckle time little piece gum stuck drive wall know fries fresh know love greasy sheen floor comfortable safe home,5
nice specialty coffee drinks!,5
nice clean,5
consistent open,4
people nice charged 1 09 cup ice 100 degree day,2
good food,5
wanted guys better locations nearby open lobby s 8 pm 25 car lines waiting 20 minutes horrible mcdonal,1
ordered breakfast ok pancakes orders cold dry,3
mcflurry mcdonald's,5
took 1 plus hours drive drive line cannot no apologised abnormal wait time got food fries cold taste old usually not complain restaurant 1 plus hours drive line ludicrous especially fast food establishment,1
cashier unfriendly sandwich missing bacon,1
horrible service! employees look like hate jobs headphones taking cashier swearing coworkers supposedly phone claim not talking customers people phones took forever just large fries large sprite dirty interior no doing job,1
fast tasty,3
spent 15 minutes drive sitting window waiting food didn't straw double cheeseburger no cheese son's happy meal no toy ordered double cheese meal happy meal couldn't right 15 minute wait completely unacceptable,1
nice,5
best super clean,5
good,4
caramel frappuccino great,3
neutral,3
good,4
wanted milkshake 5p m just needed cleaned b half hour usually clean machines morn makes u wonder long,3
fast clean courteous just watch surroundings,5
excellent,5
can't wrong,4
order incorrect ordered big mac meal large coke medium caramel frappe handed medium coke meal frappe said coke supposed large worker manager asked receipt shows 1 big mac ml lrg 1 m coke said ask large did!! didn't offer correct error order large meal medium drink????? fry large cold big mac dry forgot don't usually mcdonald's thank reminding,2
love french fries coffee drinks great! excellent place small children healthy good kiddos fun place play treasured memories little grandson he's 20 now!,4
mcdonald's treat big hurry double cheeseburger large dr pepper hot south texas days vanilla ice cream cone hits spot yum!!!,5
pros never wait long order cons just place near downtown alot homeless,3
rude security came buy coffee use restroom prefer use restroom yelled flash lighter directly face buy coffee don t prefer restroom coffee leave table expecting spit,1
unprofessional rude mcdonalds recently went mcdonalds order 2 quarter pounders cheese no ketchup tomatoes allergy large coke got work i'm happy checked bite called spoke manager asked come replace couldn't make day work called day left know going replacement said ok pick not 5 minutes later manager called told couldn't pick said manager said ok person called said different manager talked thistles manager said absolutely not manager like unprofessional rude mcdonalds,1
fast friendly service order amd food correct,5
,3
neutral,3
terrible,1
pretty clean dinning room personal serve make wait long big parking bathroom clean free wifi,3
allways best fries ice cream world!,5
not mcdonald's unless speak spanish!!!! sunday breakfast brother time order thing 2 burritos small coffee 4 sugars not got order right yet! cause works mexican can't speak read english took coffee cause sticker receipt 4 sugar got coffee 4 creamer can't read english,1
visited location morning rush store clean staff punctual son received food 1 minute ordering location looks recently updated includes playland little ones based today's experience recommend location visiting,5
good service would've better wasn't walking homeless person passed sidewalk strange sure,4
excellent place excellent staff,5
excellent,5
good food,4
good,4
service food horrible u order number wait bring food food never gets delivered u bk flies place unsanitary,1
horrible service closed time posted dirty,1
place used quick good food quality it's opposite just avoid location,2
good mcdonald fast food safe location good service,4
dont know skip pickles,2
fast friendly service enjoyed food restroom kept,5
great place kids,5
excellent,5
spent half hour drive person doing work ice cream machine not working milk shake,1
ok super magnificent place,5
staff nice pleasant cheerful 290,5
good,5
horrible dry old nasty disappointed that's pretty bad kid says horrible,1
food took 6 minutes,1
stopped mcdonald's way home manager did not want help kept sending kiosk place order looking ask question turned didn't want acknowledge kept telling workers kiosk isn't available help answer question phone pick ask help rude,3
excellent,5
time visiting mcdonald's location staff nice food good service fine fast food place phenomenal ordinary report pricing feels amazing compared mandalay bay convention center's street prices food,4
love ambiance coffee hot staff nice alot missing,3
quick nice! drive went quickly,5
good service,5
food,3
neutral,3
super slow waited extremely long time drive people beeping honking no taking orders drive lane,1
like mcdonald's kept usually trash free not mind coming anytime,4
customer service better it's ok general,3
fast service,5
modern mcdonald's kiosk order brink food nice pkayplace kids looked new we'll thought touchscreen computers older kids nice!,4
stopped quick grab way home got burger wrong drive line long feed birds 10 30pm,1
excellent,5
clean fast,5
inside closes early!,1
food great,5
i'm loving,5
restaurant dirty order incomplete daughter sad didn't receive happy meal's toy additionally ate fast possible homeless intimidating guests employees didn't felt insecure eating,1
good,4
worst experience customer service worst location staff working 6 16 19 3 00am worst messed orders didn,1
location busy return food cold hard ok service,3
fine food,5
neat promptness care good,4
hot food,5
worst experience i've mcdonald's night manager rude didn't want attend customers counter got counter said can't read says kiosk felt like bad mood taking customers feel like racist,1
food plastic bags steam hot came watery supposed special delivery bags food plastic bags causing sweat heat food cause arrive watery state supposed delivery bags not plastic,1
standard food service quick efficient outside parking lot drive area dirty grungy,3
good food nice place,5
maybe cleanest mcdonald s pass 2 closer ones house just come cleanliness good,5
location no happy meals 6 year old higher prices normal city drunk people sitting restaurant asking money son feel bad looked homeless did help guy intoxicated making mess not polite need clean scared kids makes uncomfortable i've happen visit location,2
cause it's nice place kid's sit hold commersation let talk food good,5
went today food said times not open clearly states open 24 hours asked nicely twice closed got closed not professional not right understand things happen no answer back? place lit just answer,1
super easy self order station cosy place,5
excellent,5
doesn't deserve single star burger slopply half sticking box way pepper poured chicken gave drink instead shake ordered far worse mcdonalds texas area never come drive dallas order food mcdonalds,1
disapointed,1
good food just slow service? oh no ketchup,3
don't let use restrooms,1
yes number fast food,5
hot food good service,5
took long order screen drive don't takes longer night it's not busy day not just st mcdonald's,3
professional speedy staff tbh don't eat drive hanging time,5
excellent,5
dirtiest mcdonold waited 8 mins no serve 2 staffs standing waiting place dirty not sure pass hygiene not allow order medium large night order not bag checked receipt noticed placed wrong order told said don t item refused refunds told not want wrong order no apology lie placed order rude ignorant did not speak english deny putting wrong order accused placing order never placed food cold bread hard burn horrible experience wish mcd franchiser license away disgrace brand management bad experience unbelievable readck order best advice not,1
quick eat local 2nd floor,5
not allowing customers eat inside ??,2
kids probably nice adults running driving quick bite basically explain want burger ordered 2 mcdoubles cheese 2 small fries dry kinda crunchy cheese fully cooked trim parts undercooked hard eat burger dry like need medium drink eat burger sadly started fries using card drive never got receipt never going checkers street,2
young man order pick unproffesional direspecfull manager lady just laughing young employ e direspecting today racial motives anyway!! didnt know funny manager!! security came wasn't able store employe young man obviously trying escalate situation,1
ve written review place haven t bit update girl taking payments window glasses dark hair rude nuggets ordered weren t warm taste sitting gave opened buffalo sauce !?,1
10 09pm right drive time entire life heard mcdonald s tell not taking orders 20 minutes ar,2
worst mcd's i've come twice times horrible experiences don't know it's mcdonald's standards hire employees don't know basic math read screen receipt mess meals order never come place,1
enjoyed watching boys play play area,4
stupidest peole working window dumb mexican,1
just like mcdonald's,4
food good,4
slowest fast food restaurant ve gone,1
good location good service,5
order incorrect ordering grub hub,2
little staff customers,3
hate point problem management tell that's way supposed managed mcdonald's years know better order food regularly country know better new manager things better standards slip old ways he's not,2
ve never come mcdonald s never woman speaker rude handed bag walked away,1
clean convenient efficient issue member staff served grumpy really not friendly foul mood!,4
average mcdonald's self ordering machines don't print receipts number better catch screen not fortunately getting sodas didn't question order real order not gone smoothly,2
drive line tad long wait 5 minutes fresh fries nonetheless staff service great,4
horrible service ridiculous wait time waited long time ice cream cone 10 people working they're slow prepares drinks time food ice drink melted warmed,1
iam love'n it! staff great! nice people work their! times stop headed haines city visit family week weekends! good work!,5
terrible,1
single experience not enjoyable just came receipt says 3 30pm it's 3 45pm make home order mcdouble just regular cheeseburger questioned ordered takeout window time don't question make sure right order waste existence,1
disappointing largest mcdonald's menu's items unavailable came service subpar kids fun hame rooms,2
ok,4
typical mcdonald's food service ok not worse dtla atmosphere varies security takes care business,4
good breakfast getting expensive,4
ive going location long time seats began look worn days renovate make sparkle,5
picked wrong lane did not asked order 3 cars passes order lane pulled manager told pay inside took 30 minutes order food horrible,1
terrible,1
wait drive parking lot line forgot order says add cheese happened twice bag add cheese stamp false advertising cheese paying extra cheese not getting food s ridiculous stealing honestly time happened calling c,1
excellent,5
good,4
never eat macdonald i'll drink coffee thefood garbage,1
lady manager knows work nice area kids play,5
worst wait times u never response drive u say hello times,1
fast decent no complaints,5
poor,2
food cold,3
nice cozy environment no drink refills,4
unbelievable complaint never order right tonight realized forgot item coming home food family tried just reimbursed no answered phone decided drive refund rest food went cold dining room table got drive politely asked refund item forgot having worked food industry past service awful sheer inconvenience refunded offered missing item free charge given refund not apology terrible service terrible cold food eat home thanks having drive refund mistakes happen not happen favor avoid location!!!,1
bad staff not hire eat,1
contrary google page place not open 24 hours cut time 2am,1
excellent place not messed order,5
gave wrong cafe latte,2
good place stop resting food clean shower,4
sucks,1
excellent,5
nasty stuff,1
quick friendly,4
long wait drive order correct,3
messed order payed nuggets didnt,1
good food,5
worst service didnt order look like did wrong actually wouldnt look never come,1
crowded hard parking spot largest mcdonald's u s hour big mac meal ordered pizza came big mac meal pizza salty yeah guess that's ordering pizza mcdonald's kids ordered pasta disappointed,1
50 50 comes getting orders correct q,3
placed order 7 33pm tonight got order 8 15pm make sure received order apparently forgot overlooked usually throw free item make happy not place,1
good,4
omg beware don't order place dirty staff racist rude ordered smoothie cashier gave smoothie half didn't ketchup,1
good place bathrooms,5
usually good staff security guard really nice person,4
quick pleasant business amen,3
excellent,5
fast friendly service passed test,5
cheap bugers,2
omg no refill drink forgot son's nuggets,3
rude,1
excellent,5
nicely renovated stop friendly staff quick hot food!,5
check box pass drive half order,3
worst mcdonalds,1
employees friendly order correct food hot fresh tables clean kids happy thanks great lunch!,5
drive threw took forever waited 40 minutes ice cream machine drive threw cashier rude uncaring,1
it's alright times vagrants hanging making place pleasant eat,3
place clean new way order touch screen cool modern food exactly expect tasty downside napkins place near kitchen,4
think lot time cleaning sanitizing store gas station,1
good coffee usual delicious breakfast,5
kid live,5
did not like,1
breakfast,5
offered no beverages stock seriously,1
good food time not like anti homeless people atmosphere not appetizing,3
good,4
customer service isn't best don't attempt 24 hours route they'll waiting standing window,2
thought experienced disorganized mcdonald s new level bad management hour wait time normal order plus pizza employees busy plenty leads believe management not equipped handle location size needs training needs,2
good,1
