clean_review,Star
mcdonald kiosks working service quick didn upstairs check dining room,4
long wait charging fountain water,1
lunch time fast great service,5
placed mobile order went ordered large fries manager refused order showed order refused said cancel asked said didn know horrible service,1
fine morning night staff terrible rude unhelpful lots food available really thought lady serving sort slow medication hadn paid food kids moaning hungry server wearing food,1
major problem mcdonald coming years alot inconveniences non night appalling wrong girl cashier tan skin black hair hispanic indian girl yellow long press nails im sure single crowd wont say kept saying eachothers names loud like high school musical mandatory receipt like hardworking americans coming long remember need receipt especially just incase fast food workers forget order wouldn know did fail receipt failed correct order asked order times owner mcdonald policy berate customer spanish puerto rican understand saying rude said customer customer value rewards members going post experience social media platform mark words like state woman manager allowed staff acting maliciously acted going wrong run establishment african american fellow tall kind lisp gave wrong order wrong receipt nice pick garbage receipt hours ago thinking wouldnt know difference owner pop like losing money thumbs going spend money zero stars,1
excellent,5
terrible,1
good,4
drive literally closed store face place disgrace,1
mcdonald generally sucks loud worse don think drive gotten order correct constantly running staple items don fries ready shake machine busted bad hang local homeless decent homeless methed violent type,1
building completely locked use bathroom waiting curbside,1
neutral,3
newly renovated far good,4
neutral,3
good service ve better wasn walking homeless person passed sidewalk strange sure,4
horrible lines long,1
neutral,3
fast,5
friendly staff quick service great prices gone highly recommend,5
terrible service waiting smoothies got,1
good coffee excellent food nice people,5
worst mcdonald ve experienced late night manager literally slammed door face locked,1
great service clean restrooms clean dinning room friendly staff,5
service speedy convenient,4
mc food want location works app best app quick service,3
ordered breakfast january order order ate breakfast resort staying family elected mcdonald instead did wait extended period minutes order board large order got window number girl working window rude did want allow review large order spoke extremely fast unprofessional rushed window paying drove window handed food hadn paid tried reviewing order woman didn listen pay attention sat patiently rushed window collect payment given cooked mushy rest breakfast good relay staff overall experience drives customer just food wendy filled remainder order efficie,1
clean,3
expensive,2
good,4
nice,5
hard restaurant people asking money,1
quick served favorites,4
slow service,4
nice efficient mds use app sandwich let multiple transactions save ton great location clean courteous,3
awful staff rude place slow dirty,1
ordered lunch today doing kiosk people waiting waiting online orders used kiosk waited minutes food got food gave iced coffee instead frappe told worker claimed ordered got wrong deserts didn,1
lanes drive ordered mobile app waiting line got speaker didn bother ask order order number just kept taking people line know happens forget order cars pull row started taking th car pulled line went window food ok got waiting minutes happen drive isn cool,4
yas self serve kiosks,5
came pm night ordered spicy mcchicken medium meal cheeseburgers asked fries fresh usually issue mcdonald order thing fresh called order wait issues want fresh food typically wait got food minutes later drove food house home look bag grab fry mcdonalds fries fresh freaking delicious yeah bit fries soggy unsalted highly disappointed tried phone just rang longer close mcdonalds just ordered thing mcdonalds closer destination winter park actually gave discount apologized troubles mcdonalds said understood wont coming mcdonalds,1
night shift taken break times gone say closed service extremely slow late close way doubt worst country,1
slow long winded,2
producing fatty unhealthy food masses mcdonald blight neighborhood caters providing saturated fatty foods,1
good hot food lot homeless people security,4
don eat minutes cook frozen apple pie drag feet till feel like order paid counter pm got order,1
bad,5
slow lazy staff hardly business waited breakfast min,2
slowest mcdonald ve visited checked pickup order uber waited minutes backed hadn started order returning location,1
time info drive snotty kid doesn know listen correctly order mean frustrating orde,1
crowded prompt service got order right accommodating easier thought,5
just want warn people beautiful playground outside closed,1
worst service staff rude food takes time served recommend worst mcdonald ve,1
flies kitchen poor food sloppy looking man supposedly managed did notice filthy cup handed drink awesome employee noticed gave clean cup dirty restaurant poor management great woman supervisor,1
neutral,3
excellent,5
got order right,2
don time order salt fried friendly grandson loves mcdonald really awful told pull decaffeinated coffee come wrong orders just rid,2
fast quick good better management control,5
love place great place bring kids hurry best place stop trust wont long,5
missing kids meal plus following covid precussion disorganized extent gives opportunity strangers gather order pick session,2
expectations enter nyc mcdonalds aesthetically pleasing having recently updated clutch location fast food anytime,3
change mobile order placed wanted light chocolate coffee instead obese size pumps drowns actual taste coffee makes taste extremely sweet asked speaker window window person forgot hot sauce burrito mcdonald standard,1
great friendly service,5
service good druggies hanging,2
beware location huge user mcdonald happy meal child know use mcdonald app order location working furthermore kiosk order just takes money credit card receipt paper run person register took order twice happy meal paid times happy meal understand place overcrowded macy department work better won location worst place,1
point orders great customer service,5
lunch shabby place,4
wonderful customer service stop come town,5
nice place eat anytime want busy people come bus loads eat hamburgers tourist trap cheap hot food money goes far people quick meal internet free,5
good,4
run morons order cones charge cones apparently different couriers need come serve minutes arguing running telling ll ice cream guy comes tell won,1
cold food gave different order forgot half ordered,1
place used great beggars homeless taken entire nd floor place smells horrid employees rude food takes long,1
horrible food cold fries cold just horrible,1
fast friendly,5
customer service bad super slow did complete order asked rest stuff apology handed,1
nice people,5
great,5
good place eat work shift,5
good food,5
food fresh staff polite wait bit,4
comment,1
used drive ordered large fries paid large fries received large fries receipt given couldn prove ordered,1
disappointed indoor seating doors locked drive needed sit table eat decided eat,2
delicious,5
went morning hashbrown wasn cooked way sodas wro,1
google says open hours guy drive turned away told close,1
stopped breakfast sandwiches coffee horrible,4
neutral,3
slow service,3
min waiting restroom close bad,1
got order wrong twice second time didn bother,1
disgusting way place saturday lord people sleeping booths begging food money bath room doors don lock allowed happen run businesses ny guess mcdonalds cares customers matter unsafe feel just want money sued fortunate kicked haven ordered good job mcd,1
worst mcdonals super slow time,1
place busy chasier time just order kiosk app ordered phone app got taken care reasonable time people ordered kiosk couldn pay card wait collect money cashier chaos want say team handling download app phone service faster app does offer deals free stuff purchase,4
fast drive efficient,4
mcdonalds favorite place frappe fish burger cheeseburger nuggets breakfast simply best sprite new flavor love couple stores sold institution america mcdonald mr trump likes,5
wouldn expect good europe mention ll really hungry time ll serve ll starve,2
order english muffins sausage eggs english muffin really hard edge sausage biscuit egg bread really hard ve throw bread hey way just money got throwed away,3
apple pies horrible old kind,1
neutral,3
bad service drive,1
wrong piece chicken mcnugget meal,5
right welcome las vegas sign great pick point ubering,5
mcdonald,5
excellent,5
burger looked like pictures,1
excellent,5
customer service course good morning smile arrived badly come worse lol don ask rewards tell,3
food rich like lot food good,5
speed service opportunity stay look like manager like kicking homeless man wanted water just cause hot guess looking ou,3
service usually fast unless inexperienced cashier people waiting orders,4
neutral,3
breakfast great hash brown greasy mcmuffin soft fluffy,5
supremely supreme,5
stars worst service encountered minutes drive asked refund managers refunded money decline food ask manager walks away end got food free better management team needs come train cus young women yesterday pm exchanging snapchat videos chitchatting like didnt cars drive,1
needs help,1
worst customer service,1
manager location mike person drive mike opens window hands food walks away looked right eye asked bbq sauce little mike cares job helping customers pure laziness location,1
takes soooooo long,3
excellent,5
like mcdonalds terrible remembering asked signature sauce,3
lots parking tasty coffee clean roomy restrooms,5
excellent,5
got mcdonald drove san diego proposed wife tuna park,5
drive tried ordering lunch told couldn order told just wait minutes like car ahead took minutes order big deal right nope manager comes yells pull didn care just car ordering thought blocking escape time actually got drive cars ahead really smart guys ll happily business longer stopping zoo trips kids,1
smell dirty worker pleasant,2
staff unprofessional customer service skills whatsoever,1
bad service food got sick day,1
disgusting legit took forever release order mcchicken wrong make took minutes items value menu coming,1
want add small fry window ordered speaker black lady refused add asking manager said ordered ready black uniform manager come window tell afternoon,1
excellent,5
staff drive don patience,2
ve going location life far home ve seen mcdonald lot changes employees generally decent attitudes tend rude store dirty lot time busy location maybe having lot foot traffic floor usually dirty drink station filthy wet sticky ketchup area ketchup ketchup place tables tend dirty usually clean table light tables kids like kid homeless people sitting won eating ll stuff place sit hours mind tables seat homeless person sitting kid want sit play lights ll tell homeless person sitting largest table camping employees don care people doing despite sitting hours buying ll sleeping table kid play area really crappy kids play like playplace really crappy touch screen games things rarely work properly kid huge playplace took remodeled store point playplace took replaced sitting place instead playplace really awful mcdonald dirty lot homeless people practically live isn really kid friendly food okay long hot food lot cold food order wrong employees generally friendly lot times managers lackluster meaning tell don want location needs lot work need homeless people hang hasn single time ve gone wasn homeless person taking interactive table kids want sit dirty things sitting table table counter times smell homeless person sitting time waiting line waiting food drinks kid friendly store store nicer town expect quite bit cleanliness,2
food prepared employees professional issue lack electric plugs near booths charge phones laptops,5
good,4
terrible waited minutes compared short food cold staff nonchalant,1
great place quick bite,5
great,5
ghetto,5
good,4
excellent,5
neutral,3
fresh food awesome table service stars,5
everytime drive gets missed caramel flavoring missing latte today fruit fly oj syrup sprite missing order items realize busy place attention needed,2
neutral,3
surprises mcdonald,2
app gives option select table table annoyed called order number sitting end didn notice complained minutes later correct app better train staff,4
neutral,3
nice staff,5
high tech doesn mean faster location multiple self service kiosk meaning instead taking orders time simultaneously causing backup waiting food inside competing drive location does offer dining inside ordering food just mopped customers inside safety hazard mention overheard tell employees broke ladies restroom causing water floor,1
busy,1
food terrible homeless person la parking lot restroom,1
excellent,5
terrible,1
typical,1
excellent,5
place like wow ll walk say mcdonald great foods ll amazed walk way,5
food tastes like absolute trash,1
awesome,5
needed effort prompt customer service cleanliness,1
sucks,1
loved watermelon slush pm thank hour mcdonalds,4
good food,5
good service,3
slowest mc donalds hood dont care,1
snoopy toys,2
ok atmosphere good,3
service fast good,5
excellent,5
undesirables don bring kids,1
order fries didn sauces dissatisfied called lady answered rude,1
pizza warm took half hour arrive replacement fast came hot,3
neutral,3
excellent,5
,5
worst mcdonald staff doing times bad experiences food long handed cold right order tables filthy wiped toilets disgusting,1
excellent,5
excellent,5
place small order waited food really didn anyplace stand getting way,4
generally pretty fast panhandlers try approach near drive extremely unsafe,1
cleanest mcdonald ve visited staff unusually helpful attentive checked twice dining area make sure food satisfactory offered beverage refills bus table run establishment completely new fast food experience family food good,5
wish zero food horrible order wrong paid extra cheese cheese mayonnaise food cold dime size tomatoes sandwich sandwiches right post pictures service unacceptable,1
took minutes mcchicken feels like wouldn long forgot lettuce fries cold wanting bet went better options stock recommend going,2
awful experience location member security staff hire customers employees,1
eat got apple pie friend,1
worse bad worse new people don attend pay ask machine die dispatch horrible customer service ma manager yelling employees ufff,1
unprofessional rude mcdonalds recently went mcdonalds order quarter pounders cheese ketchup tomatoes allergy large coke got work happy checked bite called spoke manager asked come replace couldn make day work called day left know going replacement said ok pick minutes later manager called told couldn pick said manager said ok person called said different manager talked thistles manager said absolutely manager like unprofessional rude mcdonalds,1
like macdonald bad service instead gave chicken nuggets,1
heart santa monica parking breath fresh air stree level building parking mcdonalds,5
dirty slow hate,1
mcdonalds kiosk ordering good idea order grab number sit getting order tell wish modern way know order ready pager digital board instead telling names,3
good,4
time classic,5
terrible,1
breakfast priced rigjt egg mcmuffins,4
good,4
big busy mcdonald choices usual,5
horrible service,1
long wait food cold brought table attempts right amout cups,3
extra minutes different location entire order incorrect stuffed bag broke seconds handed person took order interested rushing looking correct went inside speak manger turns bagged order got screamed young wanna rico suave ve kitche,1
great service,5
nice ate car lol,5
terrible,1
ordered sandwiches received bread meat cheese noticed got home congrats,1
big rating people rude uber eats order placed waiting minutes waiting truly wish post pics store filthy yes took pics dirty dining time come gross,1
slow slow slow younger people rude new renovation slow workers rudeness past saturday waited min drive placed order cars backed left,2
okay place need weight feet good place,4
excellent,5
ok food service prices difference,2
mcdonald needs hire staff breakfast lunch place backed orders order food mcdonald app min,1
ok,5
slow service,1
rainy night orlando went super long day disney world waited min food drive order correct pouring rain did want slow drive mean mcdonald people quick convenient components def missing particular visit,1
mcdonalds kiosk ordering good idea order grab number sit getting order tell wish modern way know order ready pager digital board instead telling names,3
like mickey ds fast food great fries,4
mcdonald ice cream machine broken anytime ve ordered ice cream literally ask fast food establishment,5
service excellent,5
service adequate lot seating space group went,4
trash,1
somethi wrong food hot soda instead juice food cold,1
excellent,5
ve frequented mcdonalds week year times past fairly ambivalent just place quick bite eat rushed appointment event past months know pleather seats like hand know nuances quick order kiosks chuckle time little piece gum stuck drive wall know fries fresh know love greasy sheen floor comfortable safe home,5
nice specialty coffee drinks,5
nice clean,5
consistent open,4
people nice charged cup ice degree day,2
good food,5
wanted guys better locations nearby open lobby pm car lines waiting minutes horrible mcdonal,1
ordered breakfast ok pancakes orders cold dry,3
mcflurry mcdonald,5
took plus hours drive drive line apologised abnormal wait time got food fries cold taste old usually complain restaurant plus hours drive line ludicrous especially fast food establishment,1
cashier unfriendly sandwich missing bacon,1
horrible service employees look like hate jobs headphones taking cashier swearing coworkers supposedly phone claim talking customers people phones took forever just large fries large sprite dirty interior doing job,1
fast tasty,3
spent minutes drive sitting window waiting food didn straw double cheeseburger cheese son happy meal toy ordered double cheese meal happy meal couldn right minute wait completely unacceptable,1
nice,5
best super clean,5
good,4
caramel frappuccino great,3
neutral,3
good,4
wanted milkshake just needed cleaned half hour usually clean machines morn makes wonder long,3
fast clean courteous just watch surroundings,5
excellent,5
wrong,4
order incorrect ordered big mac meal large coke medium caramel frappe handed medium coke meal frappe said coke supposed large worker manager asked receipt shows big mac ml lrg coke said ask large did didn offer correct error order large meal medium drink fry large cold big mac dry forgot don usually mcdonald thank reminding,2
love french fries coffee drinks great excellent place small children healthy good kiddos fun place play treasured memories little grandson,4
mcdonald treat big hurry double cheeseburger large dr pepper hot south texas days vanilla ice cream cone hits spot yum,5
pros wait long order cons just place near downtown alot homeless,3
rude security came buy coffee use restroom prefer use restroom yelled flash lighter directly face buy coffee don prefer restroom coffee leave table expecting spit,1
unprofessional rude mcdonalds recently went mcdonalds order quarter pounders cheese ketchup tomatoes allergy large coke got work happy checked bite called spoke manager asked come replace couldn make day work called day left know going replacement said ok pick minutes later manager called told couldn pick said manager said ok person called said different manager talked thistles manager said absolutely manager like unprofessional rude mcdonalds,1
fast friendly service order amd food correct,5
,3
neutral,3
terrible,1
pretty clean dinning room personal serve make wait long big parking bathroom clean free wifi,3
allways best fries ice cream world,5
mcdonald unless speak spanish sunday breakfast brother time order thing burritos small coffee sugars got order right cause works mexican speak read english took coffee cause sticker receipt sugar got coffee creamer read english,1
visited location morning rush store clean staff punctual son received food minute ordering location looks recently updated includes playland little ones based today experience recommend location visiting,5
good service ve better wasn walking homeless person passed sidewalk strange sure,4
excellent place excellent staff,5
excellent,5
good food,4
good,4
service food horrible order number wait bring food food gets delivered bk flies place unsanitary,1
horrible service closed time posted dirty,1
place used quick good food quality opposite just avoid location,2
good mcdonald fast food safe location good service,4
dont know skip pickles,2
fast friendly service enjoyed food restroom kept,5
great place kids,5
excellent,5
spent half hour drive person doing work ice cream machine working milk shake,1
ok super magnificent place,5
staff nice pleasant cheerful,5
good,5
horrible dry old nasty disappointed pretty bad kid says horrible,1
food took minutes,1
stopped mcdonald way home manager did want help kept sending kiosk place order looking ask question turned didn want acknowledge kept telling workers kiosk isn available help answer question phone pick ask help rude,3
excellent,5
time visiting mcdonald location staff nice food good service fine fast food place phenomenal ordinary report pricing feels amazing compared mandalay bay convention center street prices food,4
love ambiance coffee hot staff nice alot missing,3
quick nice drive went quickly,5
good service,5
food,3
neutral,3
super slow waited extremely long time drive people beeping honking taking orders drive lane,1
like mcdonald kept usually trash free mind coming anytime,4
customer service better ok general,3
fast service,5
modern mcdonald kiosk order brink food nice pkayplace kids looked new ll thought touchscreen computers older kids nice,4
stopped quick grab way home got burger wrong drive line long feed birds pm,1
excellent,5
clean fast,5
inside closes early,1
food great,5
loving,5
restaurant dirty order incomplete daughter sad didn receive happy meal toy additionally ate fast possible homeless intimidating guests employees didn felt insecure eating,1
good,4
worst experience customer service worst location staff working worst messed orders didn,1
location busy return food cold hard ok service,3
fine food,5
neat promptness care good,4
hot food,5
worst experience ve mcdonald night manager rude didn want attend customers counter got counter said read says kiosk felt like bad mood taking customers feel like racist,1
food plastic bags steam hot came watery supposed special delivery bags food plastic bags causing sweat heat food cause arrive watery state supposed delivery bags plastic,1
standard food service quick efficient outside parking lot drive area dirty grungy,3
good food nice place,5
maybe cleanest mcdonald pass closer ones house just come cleanliness good,5
location happy meals year old higher prices normal city drunk people sitting restaurant asking money son feel bad looked homeless did help guy intoxicated making mess polite need clean scared kids makes uncomfortable ve happen visit location,2
cause nice place kid sit hold commersation let talk food good,5
went today food said times open clearly states open hours asked nicely twice closed got closed professional right understand things happen answer place lit just answer,1
super easy self order station cosy place,5
excellent,5
doesn deserve single star burger slopply half sticking box way pepper poured chicken gave drink instead shake ordered far worse mcdonalds texas area come drive dallas order food mcdonalds,1
disapointed,1
good food just slow service oh ketchup,3
don let use restrooms,1
yes number fast food,5
hot food good service,5
took long order screen drive don takes longer night busy day just st mcdonald,3
professional speedy staff tbh don eat drive hanging time,5
excellent,5
dirtiest mcdonold waited mins serve staffs standing waiting place dirty sure pass hygiene allow order medium large night order bag checked receipt noticed placed wrong order told said don item refused refunds told want wrong order apology lie placed order rude ignorant did speak english deny putting wrong order accused placing order placed food cold bread hard burn horrible experience wish mcd franchiser license away disgrace brand management bad experience unbelievable readck order best advice,1
quick eat local nd floor,5
allowing customers eat inside,2
kids probably nice adults running driving quick bite basically explain want burger ordered mcdoubles cheese small fries dry kinda crunchy cheese fully cooked trim parts undercooked hard eat burger dry like need medium drink eat burger sadly started fries using card drive got receipt going checkers street,2
young man order pick unproffesional direspecfull manager lady just laughing young employ direspecting today racial motives didnt know funny manager security came wasn able store employe young man obviously trying escalate situation,1
ve written review place haven bit update girl taking payments window glasses dark hair rude nuggets ordered weren warm taste sitting gave opened buffalo sauce,1
pm right drive time entire life heard mcdonald tell taking orders minutes ar,2
worst mcd ve come twice times horrible experiences don know mcdonald standards hire employees don know basic math read screen receipt mess meals order come place,1
enjoyed watching boys play play area,4
stupidest peole working window dumb mexican,1
just like mcdonald,4
food good,4
slowest fast food restaurant ve gone,1
good location good service,5
order incorrect ordering grub hub,2
little staff customers,3
hate point problem management tell way supposed managed mcdonald years know better order food regularly country know better new manager things better standards slip old ways,2
ve come mcdonald woman speaker rude handed bag walked away,1
clean convenient efficient issue member staff served grumpy really friendly foul mood,4
average mcdonald self ordering machines don print receipts number better catch screen fortunately getting sodas didn question order real order gone smoothly,2
drive line tad long wait minutes fresh fries nonetheless staff service great,4
horrible service ridiculous wait time waited long time ice cream cone people working slow prepares drinks time food ice drink melted warmed,1
iam love staff great nice people work times stop headed haines city visit family week weekends good work,5
terrible,1
single experience enjoyable just came receipt says pm pm make home order mcdouble just regular cheeseburger questioned ordered takeout window time don question make sure right order waste existence,1
disappointing largest mcdonald menu items unavailable came service subpar kids fun hame rooms,2
ok,4
typical mcdonald food service ok worse dtla atmosphere varies security takes care business,4
good breakfast getting expensive,4
ive going location long time seats began look worn days renovate make sparkle,5
picked wrong lane did asked order cars passes order lane pulled manager told pay inside took minutes order food horrible,1
terrible,1
wait drive parking lot line forgot order says add cheese happened twice bag add cheese stamp false advertising cheese paying extra cheese getting food ridiculous stealing honestly time happened calling,1
excellent,5
good,4
eat macdonald ll drink coffee thefood garbage,1
lady manager knows work nice area kids play,5
worst wait times response drive say hello times,1
fast decent complaints,5
poor,2
food cold,3
nice cozy environment drink refills,4
unbelievable complaint order right tonight realized forgot item coming home food family tried just reimbursed answered phone decided drive refund rest food went cold dining room table got drive politely asked refund item forgot having worked food industry past service awful sheer inconvenience refunded offered missing item free charge given refund apology terrible service terrible cold food eat home thanks having drive refund mistakes happen happen favor avoid location,1
bad staff hire eat,1
contrary google page place open hours cut time,1
excellent place messed order,5
gave wrong cafe latte,2
good place stop resting food clean shower,4
sucks,1
excellent,5
nasty stuff,1
quick friendly,4
long wait drive order correct,3
messed order payed nuggets didnt,1
good food,5
worst service didnt order look like did wrong actually wouldnt look come,1
crowded hard parking spot largest mcdonald hour big mac meal ordered pizza came big mac meal pizza salty yeah guess ordering pizza mcdonald kids ordered pasta disappointed,1
comes getting orders correct,3
placed order pm tonight got order pm make sure received order apparently forgot overlooked usually throw free item make happy place,1
good,4
omg beware don order place dirty staff racist rude ordered smoothie cashier gave smoothie half didn ketchup,1
good place bathrooms,5
usually good staff security guard really nice person,4
quick pleasant business amen,3
excellent,5
fast friendly service passed test,5
cheap bugers,2
omg refill drink forgot son nuggets,3
rude,1
excellent,5
nicely renovated stop friendly staff quick hot food,5
check box pass drive half order,3
worst mcdonalds,1
employees friendly order correct food hot fresh tables clean kids happy thanks great lunch,5
drive threw took forever waited minutes ice cream machine drive threw cashier rude uncaring,1
alright times vagrants hanging making place pleasant eat,3
place clean new way order touch screen cool modern food exactly expect tasty downside napkins place near kitchen,4
think lot time cleaning sanitizing store gas station,1
good coffee usual delicious breakfast,5
kid live,5
did like,1
breakfast,5
offered beverages stock seriously,1
good food time like anti homeless people atmosphere appetizing,3
good,4
customer service isn best don attempt hours route ll waiting standing window,2
thought experienced disorganized mcdonald new level bad management hour wait time normal order plus pizza employees busy plenty leads believe management equipped handle location size needs training needs,2
good,1
honestly leaving star staff rude went drive ordered cheeseburger meal extra cheeseburger small fry window checked food employee rude asked got problem rolled eyes order wrong good thing checked went inside store finally got cheeseburgers standing minutes complained manager walked away response finally got food opened hair food entire order wrong time restaurant terrible service just ended going bac,1
best fries,4
waited register person minutes employee acknowledging presence left went dennys,1
excellent,5
good attention new healthier products,5
girl rude drive speaker food fine,4
burrito hard tortilla,3
excellent,5
neutral,3
rude manager food burnt cold,1
cold food,1
prefer talk person location orders kiosk dinning room,1
took min pay window,1
busy location course miami beach typical miami beach service attitude times picked online order location positive harmony seeking butterfly type customer walks pick greets human counter respect smile receive nasty miami tch attitude makes regret sticking fastfood free diet instant really hard hire friendly customer oriented personnel seeking employment teach em pretend nice customers includes managers btw putting staff counter fairly understands english just fair customer just wants pick order leave fast cause fast food know love sweet tea def missed lemon slices sadly menu location lovin,2
min wait food order wasn correct people told waited hour unhappy theme park bound families going place overall disaster consider starving instead,1
hour waiting uber eats order window say ready customers waiting,1
ok,5
food temp fine burger picked good tasting cooks place dirty daughter cup leaking broken new given filled known like workers just standing lunch time signs thank goodness form payment overall just best mcdonald,3
staff friendly helpful hard come mcdonald place best service thanks great service,5
mcdonald garnet ave pb bogo free pound cheeseburger helped evone drive awesome helping drive able bogo food cooked fresh nice bring car minutes thanks evone mcdonald quarter pound cheeseburgers delicious,5
horrible service meal right,1
local try stay away busy tourist places mcdonald big really don mind like fact bring food table employees try best place clean customers tend rude push people say excuse establishment,4
usally location visit money allservice cleanses particular day place total mess service horrible wasn busy,2
tasty usual,5
disapointed,1
order correct,1
ordered small hot coffee coffee cold second time different day going drive true slowed,1
service slow today messed order fries old hard cold,1
location pretty nice haven gone inside drive pretty frequently nice food quickly,5
serve pizza pasta location plus huge arcade prize counter redeem tickets upstairs,5
bring animals,1
absolutely manic busy food usually mcdonald fare chips cold place really disorganised half self service kiosks order wondered help kitchen homeless people coming raiding tables food left pleasant experience worst mcdonald visited needs security guards feel,1
good burgers great staff quick service,5
make mistake,2
great food little crowded,5
mcdonald worst foods cold recook old food ask hot frappes bomb got star,1
excellent,5
lacks bit speed delivering product,4
like location dogs favourite unsalted fries stars great crew fast groomed friendly,5
lady drive extremely rood messed big mac missing cheeseburgers piece nugget seven nuggets,1
windows service bad rude wear gloves touch food soda rude complain customer need wear gloves bad experience rude lady,1
outstanding,5
love know grandson,5
worst mcdo ve seen planet,1
place needs attention better management employees play flirt scream hat hair net kitchen staff person saw hair net cleaning lady,1
used drive order food going work service little slower usual food hot,3
